"Bookings","","","","","","",""
"Booking ID","Item","Start Time","Start Date","# of Pax","Total","Net Revenue Collected","Affiliate"
"#138447502","BCNMOOIL","10:45am","2022-10-30","2","€169.98","€118.98","GetYourGuide - EUR"
"#141069469","MADBITES","06:00pm","2022-10-30","2","€149.98","€112.48","GetYourGuide - EUR"
"#139916706","MADBITES","06:00pm","2022-10-30","1","€74.99","€56.24","Activities Bank (HotelBeds)"
"#136919053","MADSEBAL","06:00am","2022-10-31","2","€479.98","€359.98","GetYourGuide - EUR"
"#141207294","BCNBALAM","06:00am","2022-10-31","2","€499.98","€399.98","Airbnb"
"#119481727","MADTRESC","08:00am","2022-10-31","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#135273743","MADDUERO","08:00am","2022-10-31","1","€169.99","€135.99","Airbnb"
"#140317905","BCNMOHAM","08:30am","2022-10-31","2","€119.98","€77.98","GetYourGuide - EUR"
"#138468743","MADTOWIN","09:00am","2022-10-31","2","€159.98","€111.98","TripAdvisor Experiences/Viator - EUR"
"#137145351","MADTOWIN","09:00am","2022-10-31","2","€159.98","€111.98","GetYourGuide - EUR"
"#136132451","MADTOWIN","09:00am","2022-10-31","2","€159.98","€111.98","TripAdvisor Experiences/Viator - EUR"
"#138529736","BCNEBIAM/PM","10:00am","2022-10-31","2","€119.98","€91.18","GetYourGuide - EUR"
"#140616518","MADTOLFD","10:00am","2022-10-31","2","€279.98","€209.98","Activities Bank (HotelBeds)"
"#137922820","MADTOLFD","10:00am","2022-10-31","3","€419.97","€314.97","Activities Bank (HotelBeds)"
"#141267159","BCNMOOIL","10:45am","2022-10-31","2","€169.98","€118.98","GetYourGuide - EUR"
"#140731194","BCNMOOIL","10:45am","2022-10-31","4","€269.96","€224.96","Klook - EUR"
"#141146345","BCNGOUTP","06:00pm","2022-10-31","2","€179.98","€129.58","TripAdvisor Experiences/Viator - EUR"
"#141244330","MADTRESC","08:00am","2022-11-01","6","€719.94","€530.58","TripAdvisor Experiences/Viator - EUR"
"#140506573","MADTRESC","08:00am","2022-11-01","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#139738238","MADTRESC","08:00am","2022-11-01","2","€239.98","€167.98","GetYourGuide - EUR"
"#140916005","BCNMOHAM","08:30am","2022-11-01","2","€119.98","€77.98","GetYourGuide - EUR"
"#140120291","MADTOWIN","09:00am","2022-11-01","2","€159.98","€111.98","TripAdvisor Experiences/Viator - EUR"
"#134754350","BCNSKYAM/PM","09:30am","2022-11-01","4","€519.96","€383.20","TripAdvisor Experiences/Viator - EUR"
"#119188201","Specials - BCTOURS","09:45am","2022-11-01","1","€0.00","€0.00",""
"#119188119","Specials - BCTOURS","09:45am","2022-11-01","1","€0.00","€0.00",""
"#138803904","BCNEBIAM/PM","10:00am","2022-11-01","2","€119.98","€91.18","GetYourGuide - EUR"
"#129913791","BCNALESA/PM","10:00am","2022-11-01","2","€239.98","€182.38","GetYourGuide - EUR"
"#139930480","BCNMOOIL","10:45am","2022-11-01","2","€149.98","€110.52","TripAdvisor Experiences/Viator - EUR"
"#140993730","BCNHEL06","11:30am","2022-11-01","4","€379.96","€280.00","TripAdvisor Experiences/Viator - EUR"
"#140987080","BCNHEL06","11:30am","2022-11-01","2","€189.98","€140.00","TripAdvisor Experiences/Viator - EUR"
"#141194059","MADTRESC","08:00am","2022-11-02","4","€479.96","€353.72","TripAdvisor Experiences/Viator - EUR"
"#139794582","MADTRESC","08:00am","2022-11-02","1","€119.99","€89.99","Activities Bank (HotelBeds)"
"#139311222","MADTRESC","08:00am","2022-11-02","1","€119.99","€95.99","Airbnb"
"#139196100","MADTRESC","08:00am","2022-11-02","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#109184195","BCNMOHAM","08:30am","2022-11-02","2","€113.98","€88.90","Project Expedition - EUR"
"#140027369","LISSKYAM","09:00am","2022-11-02","2","€239.98","€143.98","TripAdvisor Experiences/Viator - EUR"
"#139820738","BCNALESA/PM","10:00am","2022-11-02","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#138028424","BCNALESA/PM","10:00am","2022-11-02","3","€359.97","€273.57","GetYourGuide - EUR"
"#139592017","BCNMOOIL","10:45am","2022-11-02","2","€169.98","€118.98","GetYourGuide - EUR"
"#138683858","BCNHEL06","11:30am","2022-11-02","1","€84.99","€71.99","GetYourGuide - EUR"
"#138009603","MADBITES","06:00pm","2022-11-02","1","€74.99","€56.24","GetYourGuide - EUR"
"#132461161","MADTRESC","08:00am","2022-11-03","4","€479.96","€353.72","TripAdvisor Experiences/Viator - EUR"
"#132007443","MADTRESC","08:00am","2022-11-03","1","€119.99","€88.43","TripAdvisor Experiences/Viator - EUR"
"#140871398","MADDUERO","08:00am","2022-11-03","1","€169.99","€135.99","Airbnb"
"#140467770","BCNMORAM/PM","08:30am","2022-11-03","1","€109.99","€82.49","GetYourGuide - EUR"
"#134986679","BCNPENAM/PM","09:00am","2022-11-03","6","€599.94","€461.94","TripAdvisor Experiences/Viator - EUR"
"#139662184","MADTOWIN","09:00am","2022-11-03","6","€479.94","€335.94","TripAdvisor Experiences/Viator - EUR"
"#139063594","MADTOLFD","10:00am","2022-11-03","2","€279.98","€195.98","GetYourGuide - EUR"
"#140865874","BCNMOOIL","10:45am","2022-11-03","2","€169.98","€118.98","GetYourGuide - EUR"
"#140809428","BCNMOOIL","10:45am","2022-11-03","2","€169.98","€118.98","GetYourGuide - EUR"
"#137808579","BCNMOOIL","10:45am","2022-11-03","2","€169.98","€118.98","GetYourGuide - EUR"
"#137618092","BCNMOOIL","10:45am","2022-11-03","2","€149.98","€110.52","TripAdvisor Experiences/Viator - EUR"
"#131931844","MADBITES","11:30am","2022-11-03","4","€299.96","€224.96","GetYourGuide - EUR"
"#121677599","BCNBALAM","07:00am","2022-11-04","2","€459.98","€367.98","Airbnb"
"#140036475","MADTRESC","08:00am","2022-11-04","1","€119.99","€88.43","TripAdvisor Experiences/Viator - EUR"
"#129588689","MADTRESC","08:00am","2022-11-04","2","€239.98","€179.98","Activities Bank (HotelBeds)"
"#140209545","MADDUERO","08:00am","2022-11-04","2","€339.98","€237.98","TripAdvisor Experiences/Viator - EUR"
"#141072679","BCNMOHAM","08:30am","2022-11-04","1","€62.99","€37.79","TripAdvisor Experiences/Viator - EUR"
"#139311781","BCNMORAM/PM","08:30am","2022-11-04","6","€659.94","€527.94","OutdoorVisit"
"#139410620","PR-BCNMORAM/PM","08:30am","2022-11-04","1","€1,200.00","€888.00","OutdoorVisit"
"#141114646","TM-BCNGOFTR","10:00am","2022-11-04","1","€742.00","€518.50","Tours for You"
"#141297384","BCNMOOIL","10:45am","2022-11-04","1","€74.99","€56.24","Activities Bank (HotelBeds)"
"#140762972","BCNMOOIL","10:45am","2022-11-04","2","€149.98","€116.98","Project Expedition - EUR"
"#140744021","BCNMOOIL","10:45am","2022-11-04","5","€424.95","€297.45","GetYourGuide - EUR"
"#138917007","BCNMOOIL","10:45am","2022-11-04","2","€149.98","€110.52","TripAdvisor Experiences/Viator - EUR"
"#136900814","BCNMOOIL","10:45am","2022-11-04","1","€74.99","€56.24","Activities Bank (HotelBeds)"
"#135825428","BCNMOOIL","10:45am","2022-11-04","4","€299.96","€221.04","TripAdvisor Experiences/Viator - EUR"
"#127867568","BCNMOOIL","10:45am","2022-11-04","3","€224.97","€179.97","Airbnb"
"#138822433","MADBITES","11:30am","2022-11-04","2","€149.98","€112.48","GetYourGuide - EUR"
"#123941725","MADBITES","06:00pm","2022-11-04","1","€74.99","€59.99","Airbnb"
"#135867894","MADTRESC","08:00am","2022-11-05","6","€719.94","€530.58","TripAdvisor Experiences/Viator - EUR"
"#128203687","MADTRESC","08:00am","2022-11-05","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#115328383","MADTRESC","08:00am","2022-11-05","4","€479.96","€353.72","TripAdvisor Experiences/Viator - EUR"
"#138798945","MADDUERO","08:00am","2022-11-05","3","€509.97","€407.97","Airbnb"
"#122265701","MADDUERO","08:00am","2022-11-05","4","€679.96","€475.96","TripAdvisor Experiences/Viator - EUR"
"#117032305","BCNMOHAM","08:30am","2022-11-05","4","€227.96","€182.36","Portugal Trails"
"#140883515","BCNMORAM/PM","08:30am","2022-11-05","1","€119.99","€89.99","GetYourGuide - EUR"
"#138929171","BCNMORAM/PM","08:30am","2022-11-05","3","€359.97","€269.97","GetYourGuide - EUR"
"#131562980","BCNMORAM/PM","08:30am","2022-11-05","1","€119.99","€88.43","TripAdvisor Experiences/Viator - EUR"
"#131562970","BCNMORAM/PM","08:30am","2022-11-05","1","€119.99","€88.43","TripAdvisor Experiences/Viator - EUR"
"#138899028","LISSKYAM","09:00am","2022-11-05","4","€479.96","€287.96","TripAdvisor Experiences/Viator - EUR"
"#136289861","LISSKYAM","09:00am","2022-11-05","2","€239.98","€143.98","TripAdvisor Experiences/Viator - EUR"
"#141115322","PR-BCNMOOIL","09:00am","2022-11-05","1","€1,180.00","€1,003.00","Tours for You"
"#111779579","MADEBIAM/PM","11:00am","2022-11-05","2","€0.00","€0.00","Airbnb"
"#115959411","BCNBOFLA","06:00pm","2022-11-05","3","€239.97","€177.09","TripAdvisor Experiences/Viator - EUR"
"#140978990","BCNMOOIL","10:45am","2022-11-06","2","€169.98","€125.26","TripAdvisor Experiences/Viator - EUR"
"#128421355","MADEBIAM/PM","11:00am","2022-11-06","2","€79.98","€63.98","Airbnb"
"#128050583","MADEBIAM/PM","11:00am","2022-11-06","2","€79.98","€63.98","Airbnb"
"#140413038","BCNHEL06","11:30am","2022-11-06","2","€189.98","€126.40","GetYourGuide - EUR"
"#137667536","BCNBOFLA","06:00pm","2022-11-06","5","€339.95","€250.85","TripAdvisor Experiences/Viator - EUR"
"#139998598","MADTRESC","08:00am","2022-11-07","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#138736344","BCNMOOIL","10:45am","2022-11-07","4","€299.96","€239.96","Ocio Business"
"#139886850","BCNLUIPM","05:30pm","2022-11-07","4","€260.00","€208.00","Kimkim"
"#134789585","MADBITES","06:00pm","2022-11-07","1","€70.75","€53.06","The Tour Guy"
"#140543225","BCNBALAM","07:00am","2022-11-08","3","€749.97","€552.72","TripAdvisor Experiences/Viator - EUR"
"#135880124","LISSICAS","08:00am","2022-11-08","4","€479.96","€383.96","Airbnb"
"#134789541","MADVALLE","08:00am","2022-11-08","1","€94.33","€70.75","The Tour Guy"
"#120532260","MADDUERO","08:00am","2022-11-08","2","€359.98","€251.98","TripAdvisor Experiences/Viator - EUR"
"#138584108","BCNMOHAM","08:30am","2022-11-08","1","€59.99","€38.99","GetYourGuide - EUR"
"#139963619","MADTOWIN","09:00am","2022-11-08","2","€159.98","€111.98","GetYourGuide - EUR"
"#138498492","BCNSKYAM/PM","09:30am","2022-11-08","2","€259.98","€202.78","Civitatis - EUR"
"#132209002","BCNSKYAM/PM","09:30am","2022-11-08","1","€129.99","€98.79","Expedia.com - EUR"
"#137514018","BCNALESA/PM","10:00am","2022-11-08","2","€239.98","€182.38","GetYourGuide - EUR"
"#118209367","BCNMOOIL","10:45am","2022-11-08","2","€139.98","€103.16","TripAdvisor Experiences/Viator - EUR"
"#138043886","BCNBOFLA","06:00pm","2022-11-08","2","€169.98","€127.48","Activities Bank (HotelBeds)"
"#138341178","MADBITES","06:00pm","2022-11-08","2","€149.98","€112.48","GetYourGuide - EUR"
"#140016622","MADSEBAL","06:00am","2022-11-09","2","€519.98","€389.98","GetYourGuide - EUR"
"#122431258","MADTRESC","08:00am","2022-11-09","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#121908957","MADTRESC","08:00am","2022-11-09","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#138090462","BCNMORAM/PM","08:30am","2022-11-09","1","€109.99","€82.49","Activities Bank (HotelBeds)"
"#138957959","BCNPENAM/PM","09:00am","2022-11-09","2","€199.98","€153.98","TripAdvisor Experiences/Viator - EUR"
"#127745262","MADTOWIN","09:00am","2022-11-09","3","€239.97","€167.97","TripAdvisor Experiences/Viator - EUR"
"#138432721","BCNMOOIL","10:45am","2022-11-09","2","€169.98","€118.98","GetYourGuide - EUR"
"#141117648","BCNHEL06","11:30am","2022-11-09","2","€189.98","€140.00","TripAdvisor Experiences/Viator - EUR"
"#131474142","MADBITES","11:30am","2022-11-09","2","€149.98","€110.52","TripAdvisor Experiences/Viator - EUR"
"#138956635","TM-BCNESPXX","08:00am","2022-11-10","1","€90.00","€76.50","Tours for You"
"#137498844","MADTRESC","08:00am","2022-11-10","1","€119.99","€88.43","TripAdvisor Experiences/Viator - EUR"
"#140837896","LISTRESC","08:00am","2022-11-10","2","€199.98","€149.98","GetYourGuide - EUR"
"#138958338","BCNMORAM/PM","08:30am","2022-11-10","2","€219.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#138957355","TM-BCNGOFTR","09:00am","2022-11-10","1","€630.00","€463.25","Tours for You"
"#140298798","MADTOWIN","09:00am","2022-11-10","2","€150.93","€147.31",""
"#132741228","BCNSKYAM/PM","09:30am","2022-11-10","2","€259.98","€197.58","GetYourGuide - EUR"
"#138956914","TM-BCNESPXX","07:20am","2022-11-11","1","€90.00","€76.50","Tours for You"
"#132050244","MADTRESC","08:00am","2022-11-11","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#128690170","MADTRESC","08:00am","2022-11-11","2","€239.98","€167.98","GetYourGuide - EUR"
"#140492026","MADDUERO","08:00am","2022-11-11","2","€339.98","€237.98","TripAdvisor Experiences/Viator - EUR"
"#136402365","BCNMOHAM","08:30am","2022-11-11","3","€179.97","€132.63","TripAdvisor Experiences/Viator - EUR"
"#137430089","MADTOWIN","09:00am","2022-11-11","5","€399.95","€299.95","Expedia.com - EUR"
"#124923207","BCNEBIAM/PM","10:00am","2022-11-11","2","€119.98","€89.98","Activities Bank (HotelBeds)"
"#133301231","BCNMOOIL","10:45am","2022-11-11","1","€84.99","€59.49","GetYourGuide - EUR"
"#140664256","MADBITES","06:00pm","2022-11-11","1","€74.99","€55.26","TripAdvisor Experiences/Viator - EUR"
"#140208006","MADBITES","06:00pm","2022-11-11","8","€599.92","€449.92","GetYourGuide - EUR"
"#140531519","LISSICRO","08:00am","2022-11-12","3","€299.97","€239.97","Airbnb"
"#140155081","LISTRESC","08:00am","2022-11-12","2","€199.98","€149.98","GetYourGuide - EUR"
"#140447416","LISSKYAM","09:00am","2022-11-12","3","€359.97","€215.97","TripAdvisor Experiences/Viator - EUR"
"#139393513","BCNALESA/PM","10:00am","2022-11-12","2","€239.98","€182.38","GetYourGuide - EUR"
"#139207658","BCNGOUTP","06:00pm","2022-11-12","2","€152.00","€129.58","TripAdvisor Experiences/Viator - EUR"
"#129444483","BCNGOUTP","06:00pm","2022-11-12","2","€152.00","€129.58","TripAdvisor Experiences/Viator - EUR"
"#139138250","BCNBOFLA","06:00pm","2022-11-12","2","€169.98","€125.44","TripAdvisor Experiences/Viator - EUR"
"#129589115","MADTRESC","08:00am","2022-11-13","1","€119.99","€95.99","Airbnb"
"#141148621","BCNMOHAM","08:30am","2022-11-13","2","€125.98","€94.48","GL Tours"
"#132746172","BCNALESA/PM","10:00am","2022-11-13","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#141041437","BCNMOOIL","10:45am","2022-11-13","2","€169.98","€118.98","GetYourGuide - EUR"
"#139145715","MADSEBAL","06:00am","2022-11-14","1","€259.99","€190.88","TripAdvisor Experiences/Viator - EUR"
"#129614193","BCNBALAM","07:00am","2022-11-14","2","€499.98","€368.48","TripAdvisor Experiences/Viator - EUR"
"#140005579","MADTRESC","08:00am","2022-11-14","1","€119.99","€88.43","TripAdvisor Experiences/Viator - EUR"
"#136003004","MADTRESC","08:00am","2022-11-14","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#132140508","MADTRESC","08:00am","2022-11-14","3","€359.97","€265.29","TripAdvisor Experiences/Viator - EUR"
"#140109801","LISTRESC","08:00am","2022-11-14","2","€199.98","€146.58","TripAdvisor Experiences/Viator - EUR"
"#137821344","MADTOWIN","09:00am","2022-11-14","2","€159.98","€111.98","TripAdvisor Experiences/Viator - EUR"
"#114876109","BCNALESA/PM","10:00am","2022-11-14","3","€329.97","€234.27","TripAdvisor Experiences/Viator - EUR"
"#140077351","MADEBIAM/PM","11:00am","2022-11-14","4","€159.96","€117.88","TripAdvisor Experiences/Viator - EUR"
"#126991576","MADBITES","11:30am","2022-11-14","2","€149.98","€110.52","TripAdvisor Experiences/Viator - EUR"
"#138332299","BCNBOFLA","06:00pm","2022-11-14","2","€169.98","€135.98","Airbnb"
"#138797894","MADTRESC","08:00am","2022-11-15","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#135087711","MADTOWIN","09:00am","2022-11-15","5","€319.96","€223.96","GetYourGuide - EUR"
"#138586870","BCNMOOIL","10:45am","2022-11-15","2","€169.98","€118.98","GetYourGuide - EUR"
"#140489175","LISSKYAM","09:00am","2022-11-16","2","€239.98","€143.98","TripAdvisor Experiences/Viator - EUR"
"#135425025","LISSKYAM","09:00am","2022-11-16","2","€239.98","€179.98","GetYourGuide - EUR"
"#138364190","LISWINES","09:00am","2022-11-16","2","€199.98","€139.98","GetYourGuide - EUR"
"#117315723","BCNPENAM/PM","09:00am","2022-11-16","4","€347.96","€243.56","GetYourGuide - EUR"
"#141394826","BCNMOOIL","10:45am","2022-11-16","2","€169.98","€118.98","GetYourGuide - EUR"
"#140984368","BCNBOFLA","06:00pm","2022-11-16","2","€169.98","€135.98","Airbnb"
"#129484251","BCNTPFUN","06:00pm","2022-11-16","2","€199.98","€147.58","TripAdvisor Experiences/Viator - EUR"
"#117315730","BCNMOHAM","08:30am","2022-11-17","4","€227.96","€159.56","GetYourGuide - EUR"
"#140522028","LISCOHOR","08:30am","2022-11-17","1","€89.99","€65.96","TripAdvisor Experiences/Viator - EUR"
"#136900203","BCNGOUTP","06:00pm","2022-11-17","2","€179.98","€143.98","Kimkim"
"#119725605","BCNBALAM","07:00am","2022-11-18","2","€459.98","€367.98","Airbnb"
"#140981755","BCNMOHAM","08:30am","2022-11-18","1","€62.99","€37.79","TripAdvisor Experiences/Viator - EUR"
"#141228542","MADTOWIN","09:00am","2022-11-18","2","€159.98","€111.98","TripAdvisor Experiences/Viator - EUR"
"#134533435","BCNEBIAM/PM","10:00am","2022-11-18","2","€119.98","€89.98","Shore Excursions Group (EURO)"
"#140502864","TM-BCNESPXX","10:00am","2022-11-18","1","€90.00","€0.00","Tours for You"
"#141397291","BCNALEFD","10:00am","2022-11-18","6","€521.94","€417.54","Airbnb"
"#140258390","MADTOWIN","09:00am","2022-11-19","2","€159.98","€127.98","Airbnb"
"#138493768","MADTOWIN","09:00am","2022-11-19","2","€159.98","€111.98","TripAdvisor Experiences/Viator - EUR"
"#119188234","Specials - BCTOURS","09:45am","2022-11-19","1","€0.00","€0.00",""
"#141034517","BCNALESA/PM","10:00am","2022-11-19","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#124425309","BCNALESA/PM","10:00am","2022-11-19","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#141160200","BCNHEL11","10:30am","2022-11-19","1","€149.99","€112.49","GetYourGuide - EUR"
"#138779063","BCNHEL11","10:30am","2022-11-19","1","€149.99","€112.49","GetYourGuide - EUR"
"#135693255","BCNMOOIL","10:45am","2022-11-19","2","€149.98","€112.48","Activities Bank (HotelBeds)"
"#137617898","BCNLUIPM","04:00pm","2022-11-19","2","€130.00","€110.50","Just Explore"
"#140950784","MADTRESC","08:00am","2022-11-20","3","€359.97","€265.29","TripAdvisor Experiences/Viator - EUR"
"#140648358","MADTRESC","08:00am","2022-11-20","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#139263844","BCNMORAM/PM","08:30am","2022-11-20","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#134543144","BCNPENAM/PM","09:00am","2022-11-20","3","€329.97","€263.97","Airbnb"
"#129375183","BCNSKYAM/PM","09:30am","2022-11-20","2","€259.98","€197.58","GetYourGuide - EUR"
"#140454910","BCNALESA/PM","10:00am","2022-11-20","1","€119.99","€85.19","TripAdvisor Experiences/Viator - EUR"
"#137293014","BCNALESA/PM","10:00am","2022-11-20","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#138492812","BCNMOOIL","10:45am","2022-11-20","2","€169.98","€125.26","TripAdvisor Experiences/Viator - EUR"
"#139139947","MADBITES","06:00pm","2022-11-20","2","€149.98","€112.48","GetYourGuide - EUR"
"#128771635","MADSEBAL","06:00am","2022-11-21","2","€479.98","€359.98","GetYourGuide - EUR"
"#133326909","BCNMOHAM","08:30am","2022-11-21","2","€119.98","€83.98","GetYourGuide - EUR"
"#139627299","BCNMOOIL","10:45am","2022-11-21","3","€224.97","€165.78","TripAdvisor Experiences/Viator - EUR"
"#140923798","BCNBOFLA","06:00pm","2022-11-21","2","€169.98","€135.98","Airbnb"
"#140673532","TM-BCNESPXX","07:00am","2022-11-22","1","€90.00","€76.50","Tours for You"
"#140866227","MADVALLE","08:00am","2022-11-22","2","€199.98","€139.98","TripAdvisor Experiences/Viator - EUR"
"#140718574","MADTRESC","08:00am","2022-11-22","3","€359.97","€265.29","TripAdvisor Experiences/Viator - EUR"
"#140368915","MADTRESC","08:00am","2022-11-22","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#140059657","BCNMORAM/PM","08:30am","2022-11-22","3","€329.97","€247.47","GetYourGuide - EUR"
"#138720264","BCNPENAM/PM","09:00am","2022-11-22","6","€599.94","€461.94","TripAdvisor Experiences/Viator - EUR"
"#139608016","MADTOWIN","09:00am","2022-11-22","2","€159.98","€111.98","TripAdvisor Experiences/Viator - EUR"
"#123915074","BCNSKYAM/PM","09:30am","2022-11-22","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#138490991","BCNALESA/PM","10:00am","2022-11-22","6","€719.94","€511.14","TripAdvisor Experiences/Viator - EUR"
"#137509079","BCNALESA/PM","10:00am","2022-11-22","3","€359.97","€255.57","TripAdvisor Experiences/Viator - EUR"
"#140675520","PR-BCNGOUTP","06:30pm","2022-11-22","1","€630.00","€535.50","Tours for You"
"#139862350","BCNMOHAM","08:30am","2022-11-23","1","€62.99","€37.79","TripAdvisor Experiences/Viator - EUR"
"#139683220","BCNMOHAM","08:30am","2022-11-23","1","€59.99","€38.99","GetYourGuide - EUR"
"#140675711","TM-BCNGOFTR","09:00am","2022-11-23","1","€610.00","€518.50","Tours for You"
"#133121590","BCNBOFLA","06:00pm","2022-11-23","2","€169.98","€125.44","TripAdvisor Experiences/Viator - EUR"
"#135140915","BCNTPFUN","06:00pm","2022-11-23","2","€199.98","€147.58","TripAdvisor Experiences/Viator - EUR"
"#139482687","MADTRESC","08:00am","2022-11-24","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#138624471","MADTRESC","08:00am","2022-11-24","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#140349342","LISTRESC","08:00am","2022-11-24","1","€99.99","€74.99","GetYourGuide - EUR"
"#136927277","LISSKYAM","09:00am","2022-11-24","1","€119.99","€71.99","TripAdvisor Experiences/Viator - EUR"
"#122535808","LISSKYAM","09:00am","2022-11-24","2","€239.98","€179.98","GetYourGuide - EUR"
"#119188340","Specials - BCTOURS","09:45am","2022-11-24","1","€0.00","€0.00",""
"#139633954","MADSEG1H","10:00am","2022-11-24","7","€279.93","€223.93","Airbnb"
"#140675809","PR-BCNMKTCO","11:00am","2022-11-24","1","€1,060.00","€901.00","Tours for You"
"#131806470","MADTAFLA","06:00pm","2022-11-24","3","€239.97","€191.97","Airbnb"
"#138355375","MADTRESC","08:00am","2022-11-25","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#134160575","MADTRESC","08:00am","2022-11-25","4","€439.96","€324.24","TripAdvisor Experiences/Viator - EUR"
"#136196647","MADDUERO","08:00am","2022-11-25","2","€339.98","€237.98","TripAdvisor Experiences/Viator - EUR"
"#135358369","MADDUERO","08:00am","2022-11-25","2","€339.98","€254.98","Activities Bank (HotelBeds)"
"#140872109","BCNMORAM/PM","08:30am","2022-11-25","3","€359.97","€269.97","GetYourGuide - EUR"
"#135001240","BCNMORAM/PM","08:30am","2022-11-25","2","€219.98","€175.98","Airbnb"
"#140676092","TM-BCNGOF","09:00am","2022-11-25","1","€295.00","€250.75","Tours for You"
"#139766347","BCNPENAM/PM","09:00am","2022-11-25","2","€219.98","€0.00",""
"#141383369","MADTOWIN","09:00am","2022-11-25","3","€239.97","€167.97","TripAdvisor Experiences/Viator - EUR"
"#140673665","TM-BCNESPXX","07:00am","2022-11-26","1","€90.00","€76.50","Tours for You"
"#141180768","LISSKYAM","09:00am","2022-11-26","2","€239.98","€143.98","TripAdvisor Experiences/Viator - EUR"
"#141180351","LISSKYAM","09:00am","2022-11-26","2","€239.98","€143.98","TripAdvisor Experiences/Viator - EUR"
"#140849939","MADTOWIN","09:00am","2022-11-26","2","€159.98","€111.98","TripAdvisor Experiences/Viator - EUR"
"#119188404","Specials - BCTOURS","09:45am","2022-11-26","1","€0.00","€0.00",""
"#130646344","BCNMOOIL","10:45am","2022-11-26","2","€149.98","€112.48","Activities Bank (HotelBeds)"
"#140743465","MADTRESC","08:00am","2022-11-27","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#140502910","TM-BCNESPXX","10:00am","2022-11-27","1","€90.00","€0.00","Tours for You"
"#140218649","BCNMOOIL","10:45am","2022-11-27","1","€84.99","€62.63","TripAdvisor Experiences/Viator - EUR"
"#130364964","BCNMOOIL","10:45am","2022-11-27","2","€169.98","€118.98","GetYourGuide - EUR"
"#136981490","MADTRESC","08:00am","2022-11-28","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#136984350","LISWINES","09:00am","2022-11-28","1","€99.99","€69.99","GetYourGuide - EUR"
"#132172803","MADTRESC","08:00am","2022-11-29","7","€839.93","€671.93","Airbnb"
"#140763689","BCNMOOIL","10:45am","2022-11-29","2","€169.98","€118.98","GetYourGuide - EUR"
"#140981468","MADTOPRA","08:30am","2022-11-30","2","€179.98","€143.98","Airbnb"
"#141147800","BCNALESA/PM","10:00am","2022-11-30","2","€239.98","€187.18","Project Expedition - EUR"
"#121784303","BCNALESA/PM","10:00am","2022-11-30","2","€219.98","€156.18","TripAdvisor Experiences/Viator - EUR"
"#141003143","BCNMOOIL","10:45am","2022-11-30","1","€84.99","€59.49","GetYourGuide - EUR"
"#137768160","MADTRESC","08:00am","2022-12-01","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#127029739","BCNSKYAM/PM","09:30am","2022-12-02","4","€519.96","€395.16","GetYourGuide - EUR"
"#141117088","BCNPENAM/PM","09:00am","2022-12-03","3","€329.97","€230.97","GetYourGuide - EUR"
"#119188457","Specials - BCTOURS","09:45am","2022-12-03","1","€0.00","€0.00",""
"#138708014","MADBITES","06:00pm","2022-12-03","5","€374.95","€299.95","Airbnb"
"#131494604","MADVALLE","08:00am","2022-12-04","1","€94.33","€70.75","The Tour Guy"
"#139943108","MADTRESC","08:00am","2022-12-04","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#130567473","MADTRESC","08:00am","2022-12-05","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#134680976","BCNALESA/PM","10:00am","2022-12-05","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#135862245","BCNSKYAM/PM","09:30am","2022-12-06","1","€129.99","€95.80","TripAdvisor Experiences/Viator - EUR"
"#136999434","BCNMOHAM","08:30am","2022-12-07","3","€179.97","€125.97","GetYourGuide - EUR"
